SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.6246789872646332,0.5415728447044615,0.7077851298248049,0.6766070604324341
-9,0.5956798702478409,0.5195087183434481,0.6718510221522336,0.6766070604324341
-8,0.6058570355176925,0.5345540328084352,0.6771600382269499,0.6766070604324341
-7,0.5715484231710434,0.512330442129243,0.6307664042128438,0.6766070604324341
-6,0.622996136546135,0.5450288196358878,0.7009634534563821,0.6766070604324341
-5,0.6305631786584854,0.5584470029204833,0.7026793543964875,0.6766070604324341
-4,0.60201515853405,0.548689056732638,0.6553412603354619,0.6766070604324341
-3,0.6368365794420242,0.5599955732431292,0.7136775856409192,0.6766070604324341
-2,0.637153559923172,0.5523399856576766,0.7219671341886674,0.6766070604324341
-1,0.6912422835826874,0.6165941931427011,0.7658903740226736,0.6766070604324341
0,0.6609789520502091,0.5952520957122387,0.7267058083881794,0.6766070604324341
1,0.6368620574474335,0.5772849581221112,0.6964391567727558,0.6766070604324341
2,0.6765758752822876,0.6018255106786593,0.7513262398859158,0.6766070604324341
3,0.7794552862644195,0.697948345397432,0.860962227131407,0.6766070604324341
4,0.6822316318750381,0.5945215473477751,0.7699417164023011,0.6766070604324341
5,0.7472484886646271,0.6716314729234042,0.82286550440585,0.6766070604324341
6,0.7279247939586639,0.6580843100658339,0.797765277851494,0.6766070604324341
7,0.7836470127105712,0.7224577899249442,0.8448362354961982,0.6766070604324341
8,0.7709977746009826,0.6768418742419137,0.8651536749600516,0.6766070604324341
9,0.7061507046222687,0.6043160803573564,0.807985328887181,0.6766070604324341
10,0.82375847697258,0.7448956409660332,0.9026213129791267,0.6766070604324341
11,0.7424538612365723,0.6558681883981656,0.829039534074979,0.6766070604324341
12,0.7760832071304321,0.6882594214926536,0.8639069927682106,0.6766070604324341
13,0.8022894978523254,0.7157236684913774,0.8888553272132734,0.6766070604324341
14,0.8144756853580475,0.7338489370089096,0.8951024337071853,0.6766070604324341
15,0.7118900358676911,0.6423371420088303,0.7814429297265518,0.6766070604324341
16,0.8134508728981018,0.7216773139889389,0.9052244318072648,0.6766070604324341
17,0.86948664188385,0.7949830333668292,0.9439902504008709,0.6766070604324341
18,0.8181949615478515,0.7241089603558919,0.9122809627398112,0.6766070604324341
19,0.7950762987136841,0.7012755471079478,0.8888770503194204,0.6766070604324341
20,0.8535838961601258,0.7647816757765413,0.9423861165437102,0.6766070604324341
21,0.7571265399456024,0.665818153992987,0.8484349258982178,0.6766070604324341
22,0.864494013786316,0.7918188930848562,0.9371691344877757,0.6766070604324341
23,0.7484049558639526,0.6697507792282409,0.8270591324996643,0.6766070604324341
24,0.7883959889411927,0.7119198466954415,0.8648721311869438,0.6766070604324341
25,0.7987629473209381,0.7102401116471749,0.8872857829947013,0.6766070604324341
26,0.8319074273109436,0.7604829731739737,0.9033318814479134,0.6766070604324341
27,0.8089945614337921,0.7289980800992428,0.8889910427683414,0.6766070604324341
28,0.8453052818775177,0.7722700737776498,0.9183404899773857,0.6766070604324341
29,0.8371771991252899,0.7360829527726637,0.9382714454779161,0.6766070604324341
30,0.8625922322273254,0.788283621312244,0.9369008431424067,0.6766070604324341
