SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.6737956058306535,0.48396010052283306,0.8636311111384738,3.037709260175468
-9,0.6100623063251656,0.49563293449900414,0.724491678151327,3.037709260175468
-8,0.7138332317295335,0.5288110717793348,0.8988553916797322,3.037709260175468
-7,0.7341298722426676,0.5739216847643357,0.8943380597209994,3.037709260175468
-6,0.791291051644235,0.6298237004437454,0.9527584028447246,3.037709260175468
-5,0.819727302498821,0.6626942551170931,0.9767603498805488,3.037709260175468
-4,0.7695615112486643,0.5587572383427206,0.9803657841546081,3.037709260175468
-3,1.1058707851969551,0.924660452386225,1.2870811180076853,3.037709260175468
-2,1.0021549975507644,0.7095676588051156,1.2947423362964132,3.037709260175468
-1,1.3820088544550309,1.1160375058382543,1.6479802030718074,3.037709260175468
0,1.4110003281407515,1.1570536951797197,1.6649469611017833,3.037709260175468
1,1.7917875830200476,1.4538831627984292,2.129692003241666,3.037709260175468
2,2.2149357475773717,1.7072034171029609,2.7226680780517825,3.037709260175468
3,2.9060191431339897,2.4420544097117505,3.369983876556229,3.037709260175468
4,2.8222223999297564,2.3591749403784235,3.2852698594810894,3.037709260175468
5,3.1204370921884435,2.8499753572172986,3.3908988271595883,3.037709260175468
6,3.2688530360359573,3.0461444470792842,3.4915616249926305,3.037709260175468
7,3.26692180081681,3.0472222191354534,3.486621382498167,3.037709260175468
8,3.400529559606712,3.034873065874928,3.7661860533384965,3.037709260175468
9,3.0057077838218293,2.5747287440655664,3.4366868235780923,3.037709260175468
10,3.635817689105018,3.30620260692164,3.9654327712883957,3.037709260175468
11,3.3514587609024518,2.936718010789105,3.7661995110157984,3.037709260175468
12,3.5226880503089353,3.2698554123726216,3.775520688245249,3.037709260175468
13,3.4943794770042125,3.061853535446832,3.926905418561593,3.037709260175468
14,3.6202819435275635,3.1955402430269793,4.045023644028148,3.037709260175468
15,3.3841418793186326,3.0822214152473135,3.6860623433899518,3.037709260175468
16,3.751672632412395,3.30867506740017,4.19467019742462,3.037709260175468
17,3.677094433530654,3.250524993517003,4.1036638735443045,3.037709260175468
18,3.8439049730840695,3.4111248380507386,4.276685108117401,3.037709260175468
19,3.815166946524773,3.3376177958265036,4.2927160972230425,3.037709260175468
20,3.7141652663999665,3.2751641191250647,4.153166413674868,3.037709260175468
21,3.29646151948078,2.789255175311384,3.803667863650176,3.037709260175468
22,3.8951091252510452,3.4752513236336626,4.314966926868427,3.037709260175468
23,3.534415401681072,3.1846153682811433,3.8842154350810008,3.037709260175468
24,3.671333673756186,3.2751262925944413,4.067541054917931,3.037709260175468
25,3.7192328636910807,3.207172538719827,4.231293188662335,3.037709260175468
26,4.103454873303987,3.7418677360495893,4.465042010558384,3.037709260175468
27,3.7165612993149217,3.1492990213485212,4.283823577281322,3.037709260175468
28,3.7940494937565417,3.368261912226881,4.219837075286202,3.037709260175468
29,3.9607640962485817,3.4502459650461463,4.4712822274510176,3.037709260175468
30,4.081434880727641,3.607948035276662,4.55492172617862,3.037709260175468
