SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.619071564078331,0.529578011922604,0.7085651162340579,0.6756659299135208
-9,0.6112204968929291,0.5179349809340934,0.7045060128517648,0.6756659299135208
-8,0.6205726683139801,0.5249692461863179,0.7161760904416422,0.6756659299135208
-7,0.6132293939590454,0.5228457467637481,0.7036130411543428,0.6756659299135208
-6,0.6250811219215393,0.5279119041684006,0.722250339674678,0.6756659299135208
-5,0.6038699716329574,0.5240301720364636,0.6837097712294512,0.6756659299135208
-4,0.6354274928569794,0.5350029467255393,0.7358520389884196,0.6756659299135208
-3,0.6292471945285797,0.540480224521363,0.7180141645357964,0.6756659299135208
-2,0.6354133456945419,0.5440211557193089,0.7268055356697749,0.6756659299135208
-1,0.6815979331731796,0.5696807256265594,0.7935151407197999,0.6756659299135208
0,0.671331262588501,0.5616976455405718,0.7809648796364301,0.6756659299135208
1,0.6269010812044143,0.5459829608312976,0.7078192015775311,0.6756659299135208
2,0.6725602328777314,0.5951314058798725,0.7499890598755903,0.6756659299135208
3,0.6788181304931641,0.5819437520943538,0.7756925088919744,0.6756659299135208
4,0.5887816995382309,0.5140892349528925,0.6634741641235693,0.6756659299135208
5,0.728767591714859,0.6521780430945856,0.8053571403351325,0.6756659299135208
6,0.6827384114265442,0.5893170378253636,0.7761597850277249,0.6756659299135208
7,0.7090247869491577,0.6141557138393986,0.8038938600589168,0.6756659299135208
8,0.6695502668619155,0.5814947908514583,0.7576057428723728,0.6756659299135208
9,0.7941899955272674,0.7131013267781297,0.8752786642764052,0.6756659299135208
10,0.7360740721225738,0.6412252207348033,0.8309229235103444,0.6756659299135208
11,0.8137572824954986,0.7234851385096455,0.9040294264813518,0.6756659299135208
12,0.6842943876981735,0.6208581793638228,0.7477305960325242,0.6756659299135208
13,0.7069006502628327,0.6193595603561154,0.7944417401695499,0.6756659299135208
14,0.8527340352535248,0.7701772659925541,0.9352908045144954,0.6756659299135208
15,0.7932710379362107,0.6788696027591072,0.9076724731133141,0.6756659299135208
16,0.8394468188285827,0.7397666764817566,0.9391269611754088,0.6756659299135208
17,0.8437483012676239,0.7428841362432675,0.9446124662919803,0.6756659299135208
18,0.7995808184146881,0.6994898354851808,0.8996718013441953,0.6756659299135208
19,0.8220313906669616,0.7365989020144361,0.9074638793194871,0.6756659299135208
20,0.856493878364563,0.7683953418866276,0.9445924148424985,0.6756659299135208
21,0.8583023369312286,0.7557125149793597,0.9608921588830975,0.6756659299135208
22,0.7786656290292739,0.674995979555675,0.8823352785028729,0.6756659299135208
23,0.8464149951934814,0.7391150084660454,0.9537149819209174,0.6756659299135208
24,0.824293601512909,0.7276822320012133,0.9209049710246047,0.6756659299135208
25,0.8802083909511567,0.7925718476483861,0.9678449342539273,0.6756659299135208
26,0.8287064611911774,0.7519054275962334,0.9055074947861215,0.6756659299135208
27,0.7989996463060379,0.680076394212507,0.9179228983995689,0.6756659299135208
28,0.8070205986499787,0.713258828631167,0.9007823686687904,0.6756659299135208
29,0.8724081873893738,0.780661997057742,0.9641543777210055,0.6756659299135208
30,0.8572390675544739,0.7523657655534137,0.962112369555534,0.6756659299135208
