SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.5918836698710405,0.4373426114965332,0.7464247282455477,3.039529479698878
-9,0.6912228332563689,0.456020183073078,0.9264254834396598,3.039529479698878
-8,0.6802340009305444,0.4920108994680083,0.8684571023930805,3.039529479698878
-7,0.5036709074121265,0.3651167590418029,0.64222505578245,3.039529479698878
-6,0.782559484709459,0.5911305682302694,0.9739884011886486,3.039529479698878
-5,0.8298078750131367,0.6333961385493233,1.0262196114769502,3.039529479698878
-4,0.9292844955187907,0.76259423697983,1.0959747540577514,3.039529479698878
-3,0.9814138602600366,0.7517291770509371,1.2110985434691361,3.039529479698878
-2,1.1395631420253514,0.9143521542236993,1.3647741298270035,3.039529479698878
-1,1.295580399415861,1.0719181961896176,1.5192426026421044,3.039529479698878
0,1.4586736664298434,1.2675070088330382,1.6498403240266486,3.039529479698878
1,1.6801451396884672,1.4178551927438243,1.9424350866331102,3.039529479698878
2,2.2729974710737535,1.924208035806785,2.6217869063407218,3.039529479698878
3,2.1521953366497595,1.8072977253432676,2.4970929479562516,3.039529479698878
4,2.5703160610734033,2.261013158581541,2.8796189635652656,3.039529479698878
5,2.923344122165738,2.64022898019744,3.206459264134036,3.039529479698878
6,2.9278997786492815,2.563330623083863,3.2924689342147,3.039529479698878
7,3.069702195002052,2.829556224658901,3.3098481653452034,3.039529479698878
8,3.095819434352522,2.738597327218513,3.453041541486531,3.039529479698878
9,3.4995285673312595,3.127461958305225,3.8715951763572938,3.039529479698878
10,3.417626829245755,2.969128030022843,3.866125628468667,3.039529479698878
11,3.690167112377803,3.275151341362399,4.105182883393207,3.039529479698878
12,3.143495820397656,2.842283516796186,3.4447081239991264,3.039529479698878
13,3.332740050616311,2.9506856158300305,3.7147944854025914,3.039529479698878
14,3.688406467099059,3.3579479291607646,4.0188650050373536,3.039529479698878
15,3.472758086964504,3.016852899803496,3.928663274125512,3.039529479698878
16,3.768037335763718,3.2200846508559726,4.315990020671463,3.039529479698878
17,3.8133931062255124,3.3902532131112553,4.23653299933977,3.039529479698878
18,3.5369520111759654,2.9487527225594787,4.125151299792452,3.039529479698878
19,3.83211934924258,3.418216019729342,4.246022678755818,3.039529479698878
20,4.107595176025209,3.657370853168036,4.557819498882383,3.039529479698878
21,3.8751982229715187,3.3688122321860443,4.381584213756993,3.039529479698878
22,3.649188003493274,3.1487871577825093,4.149588849204039,3.039529479698878
23,3.8190625326974845,3.314308964262743,4.323816101132226,3.039529479698878
24,3.8635164713912786,3.3807056172268206,4.346327325555737,3.039529479698878
25,4.009676400853902,3.5364967590187026,4.482856042689101,3.039529479698878
26,4.018087370155398,3.585158670554936,4.451016069755861,3.039529479698878
27,3.7140387738547047,3.1473793918509347,4.280698155858475,3.039529479698878
28,4.022669932898754,3.620705428220907,4.424634437576602,3.039529479698878
29,4.311639547864572,3.845757820384021,4.777521275345123,3.039529479698878
30,3.9566571451456256,3.4003488679325553,4.512965422358696,3.039529479698878
