SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.8139528930187225,0.7779647908697296,0.8499409951677155,0.9780379652976989
-9,0.8510360360145569,0.8201099096398589,0.881962162389255,0.9780379652976989
-8,0.8503107607364655,0.8146299859753667,0.8859915354975643,0.9780379652976989
-7,0.8432484149932862,0.8147005449806263,0.8717962850059461,0.9780379652976989
-6,0.872763204574585,0.858530541385867,0.886995867763303,0.9780379652976989
-5,0.7844386219978332,0.6889395375820367,0.8799377064136297,0.9780379652976989
-4,0.8449335992336273,0.7879068772809069,0.9019603211863477,0.9780379652976989
-3,0.8816088914871216,0.8461426679869486,0.9170751149872947,0.9780379652976989
-2,0.9000282645225525,0.8889732005684442,0.9110833284766607,0.9780379652976989
-1,0.8591484963893891,0.8264471177420453,0.8918498750367329,0.9780379652976989
0,0.9050045728683471,0.8834489386381098,0.9265602070985844,0.9780379652976989
1,0.8691458702087402,0.7853728086374824,0.9529189317799981,0.9780379652976989
2,0.921157306432724,0.9098566264924315,0.9324579863730165,0.9780379652976989
3,0.9156049072742463,0.9002459857650289,0.9309638287834636,0.9780379652976989
4,0.934083777666092,0.921447321109128,0.946720234223056,0.9780379652976989
5,0.9461988091468811,0.933609036382079,0.9587885819116833,0.9780379652976989
6,0.9614092886447907,0.9453041098179904,0.977514467471591,0.9780379652976989
7,0.9704918444156647,0.9571177730394386,0.9838659157918909,0.9780379652976989
8,0.9674125909805298,0.9584551388414393,0.9763700431196203,0.9780379652976989
9,0.9614827334880829,0.9489846700996463,0.9739807968765195,0.9780379652976989
10,0.9708051443099975,0.9600216451133737,0.9815886435066213,0.9780379652976989
11,0.9721904575824738,0.9647299190823004,0.9796509960826472,0.9780379652976989
12,0.9733922898769378,0.9584885527737579,0.9882960269801178,0.9780379652976989
13,0.9738568007946015,0.9655599338258906,0.9821536677633124,0.9780379652976989
14,0.9619926750659943,0.9479105285639314,0.9760748215680571,0.9780379652976989
15,0.9734024405479431,0.9614939150360022,0.985310966059884,0.9780379652976989
16,0.9740059971809387,0.9600453936555817,0.9879666007062957,0.9780379652976989
17,0.9840443670749665,0.9750831150500662,0.9930056190998667,0.9780379652976989
18,0.9765442430973053,0.962868636278726,0.9902198499158845,0.9780379652976989
19,0.9827986896038056,0.973487099139209,0.9921102800684022,0.9780379652976989
20,0.9800123393535614,0.9696375944002026,0.9903870843069201,0.9780379652976989
21,0.976215022802353,0.9662944307358041,0.9861356148689018,0.9780379652976989
22,0.9776492059230805,0.9710459861424358,0.9842524257037252,0.9780379652976989
23,0.9790457189083099,0.9705646837002386,0.9875267541163812,0.9780379652976989
24,0.9791999876499176,0.9678366551464863,0.9905633201533488,0.9780379652976989
25,0.9797244310379029,0.9713837007487442,0.9880651613270615,0.9780379652976989
26,0.981399142742157,0.9682607852615275,0.9945375002227865,0.9780379652976989
27,0.9792570650577546,0.9660916377210861,0.992422492394423,0.9780379652976989
28,0.9724388480186462,0.9541398304582869,0.9907378655790056,0.9780379652976989
29,0.9769174873828887,0.9615778086187404,0.9922571661470371,0.9780379652976989
30,0.9879141449928284,0.9785468385737454,0.9972814514119114,0.9780379652976989
