SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.6920876622200012,0.6404434242151177,0.7437319002248847,0.7777784466743469
-9,0.7170742094516754,0.6472503101788356,0.7868981087245153,0.7777784466743469
-8,0.6919314682483673,0.6249962307902528,0.7588667057064817,0.7777784466743469
-7,0.7163807272911071,0.6471079477909663,0.785653506791248,0.7777784466743469
-6,0.7159778654575348,0.6405260277953341,0.7914297031197356,0.7777784466743469
-5,0.712280911207199,0.645385733248077,0.7791760891663211,0.7777784466743469
-4,0.7207072794437408,0.6554297029511539,0.7859848559363277,0.7777784466743469
-3,0.6670803010463715,0.6096961479375776,0.7244644541551654,0.7777784466743469
-2,0.706267774105072,0.6407485176110814,0.7717870305990626,0.7777784466743469
-1,0.7260201036930084,0.6534018011018522,0.7986384062841646,0.7777784466743469
0,0.773291039466858,0.7106372518476248,0.8359448270860911,0.7777784466743469
1,0.7160608232021332,0.6445903851123668,0.7875312612918995,0.7777784466743469
2,0.7450808763504029,0.6725998175701171,0.8175619351306886,0.7777784466743469
3,0.6988446563482285,0.6124753715426096,0.7852139411538474,0.7777784466743469
4,0.739883029460907,0.6688972172889729,0.8108688416328411,0.7777784466743469
5,0.7792465567588807,0.6862003469784855,0.8722927665392758,0.7777784466743469
6,0.7469830095767975,0.6629865519317424,0.8309794672218527,0.7777784466743469
7,0.8362666726112366,0.7738128511216099,0.8987204941008632,0.7777784466743469
8,0.7525449335575104,0.6614329866092401,0.8436568805057807,0.7777784466743469
9,0.825205397605896,0.7856421785609273,0.8647686166508646,0.7777784466743469
10,0.7801384687423706,0.6946408863945408,0.8656360510902004,0.7777784466743469
11,0.8052100718021393,0.7079568701917223,0.9024632734125564,0.7777784466743469
12,0.8396694242954255,0.7732450450840133,0.9060938035068377,0.7777784466743469
13,0.8655366182327271,0.7941497684509565,0.9369234680144977,0.7777784466743469
14,0.8812097012996674,0.8063638559331163,0.9560555466662184,0.7777784466743469
15,0.8673490643501282,0.7994014458279372,0.9352966828723192,0.7777784466743469
16,0.8287787199020386,0.7380121331068582,0.9195453066972189,0.7777784466743469
17,0.814731627702713,0.7035224735765158,0.9259407818289103,0.7777784466743469
18,0.8073734521865845,0.7031687345955137,0.9115781697776554,0.7777784466743469
19,0.8336677610874176,0.7385161178866471,0.9288194042881881,0.7777784466743469
20,0.8491420328617096,0.7545228400031229,0.9437612257202964,0.7777784466743469
21,0.8453663766384125,0.7571075914050023,0.9336251618718228,0.7777784466743469
22,0.8809898257255554,0.7941585843349512,0.9678210671161596,0.7777784466743469
23,0.8051978886127472,0.712650110414246,0.8977456668112485,0.7777784466743469
24,0.8237171709537506,0.7239587748054065,0.9234755671020948,0.7777784466743469
25,0.7879886388778686,0.6858855941098788,0.8900916836458584,0.7777784466743469
26,0.9229452550411225,0.8548879921363819,0.991002517945863,0.7777784466743469
27,0.818569028377533,0.7192059193260697,0.9179321374289963,0.7777784466743469
28,0.8283236503601075,0.7425391696816811,0.9141081310385338,0.7777784466743469
29,0.7932462632656098,0.6674527169272281,0.9190398096039915,0.7777784466743469
30,0.7953317821025848,0.6891356730633899,0.9015278911417798,0.7777784466743469
