SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.5501439756674835,0.3932315534321597,0.7070563979028073,2.8206842640512804
-9,0.8685732670786557,0.7646206094958747,0.9725259246614366,2.8206842640512804
-8,0.5955073767563889,0.4126878744331979,0.7783268790795799,2.8206842640512804
-7,0.7484312182000594,0.6080932734789686,0.8887691629211503,2.8206842640512804
-6,0.8649855257785551,0.6834951144614959,1.0464759370956145,2.8206842640512804
-5,0.8792306548164402,0.6753255792005586,1.083135730432322,2.8206842640512804
-4,0.9840730737475409,0.7192227520892149,1.248923395405867,2.8206842640512804
-3,0.995557843585263,0.6829391907297193,1.3081764964408067,2.8206842640512804
-2,1.165508846445793,0.9426686675302598,1.3883490253613262,2.8206842640512804
-1,1.4728280284941628,1.2858455700889306,1.659810486899395,2.8206842640512804
0,1.5838725388332269,1.3466341374338209,1.8211109402326329,2.8206842640512804
1,1.6856086002242179,1.5874316957537205,1.7837855046947153,2.8206842640512804
2,1.808480372705897,1.7410416357175367,1.8759191096942571,2.8206842640512804
3,2.0633138494417147,1.7023887133337445,2.424238985549685,2.8206842640512804
4,2.2915340500955055,1.9969506133196546,2.5861174868713563,2.8206842640512804
5,2.705135884080702,2.1593722624528278,3.250899505708576,2.8206842640512804
6,2.8069660642780967,2.183181577344903,3.4307505512112906,2.8206842640512804
7,3.545358851213179,3.0639047981020138,4.026812904324344,2.8206842640512804
8,3.34260918984116,2.7362307038142095,3.9489876758681106,2.8206842640512804
9,3.7616915122827437,3.4907165658882744,4.0326664586772125,2.8206842640512804
10,3.119621012271299,2.4353144452792947,3.8039275792633034,2.8206842640512804
11,3.680882965029576,3.121407883841912,4.240358046217239,2.8206842640512804
12,3.979053611479908,3.5877266341770437,4.370380588782773,2.8206842640512804
13,3.9625514476499837,3.3599910483636926,4.565111846936275,2.8206842640512804
14,3.7393758292339063,3.0549625619146177,4.423789096553195,2.8206842640512804
15,4.015934972459986,3.5374253188247042,4.494444626095268,2.8206842640512804
16,3.8747214997879893,3.3137831582494464,4.435659841326532,2.8206842640512804
17,4.1409264108480395,3.70324597122931,4.578606850466769,2.8206842640512804
18,4.053580075809537,3.467301656875354,4.639858494743719,2.8206842640512804
19,3.830149505945902,3.112708778860383,4.547590233031421,2.8206842640512804
20,4.244333432883403,3.7381562676743094,4.750510598092497,2.8206842640512804
21,3.8640835316566955,3.245109795574067,4.483057267739325,2.8206842640512804
22,4.259263550612087,3.908493607304652,4.610033493919523,2.8206842640512804
23,3.8947326656575205,3.4083856875034466,4.381079643811594,2.8206842640512804
24,3.9482982406227096,3.2499367918731528,4.6466596893722665,2.8206842640512804
25,3.4109892467209555,2.7149706709798664,4.1070078224620445,2.8206842640512804
26,4.056400035221177,3.371026632350348,4.741773438092006,2.8206842640512804
27,3.774422593273465,3.129945557278533,4.418899629268397,2.8206842640512804
28,4.06800872295502,3.6168457167737094,4.519171729136331,2.8206842640512804
29,3.9318292902920446,3.292255405320463,4.571403175263627,2.8206842640512804
30,3.958925860864722,3.333312328948662,4.5845393927807825,2.8206842640512804
