SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.6784051514335865,0.5031642075878755,0.8536460952792975,2.9358101732939734
-9,0.6832703678922314,0.525624291748408,0.8409164440360548,2.9358101732939734
-8,0.771269202476963,0.5867370637712132,0.9558013411827128,2.9358101732939734
-7,0.8008907246648966,0.6398751491562094,0.9619063001735839,2.9358101732939734
-6,0.7423746633295886,0.5625270933697197,0.9222222332894574,2.9358101732939734
-5,0.9303897371605508,0.7785056658953445,1.082273808425757,2.9358101732939734
-4,1.0268161176376396,0.7904563320396771,1.263175903235602,2.9358101732939734
-3,1.0867927073950348,0.8473263446161746,1.3262590701738948,2.9358101732939734
-2,1.0709316648703626,0.7906413181283944,1.3512220116123308,2.9358101732939734
-1,1.4338073196474834,1.2517522223741846,1.6158624169207823,2.9358101732939734
0,1.3676365432706874,1.163970823186967,1.5713022633544078,2.9358101732939734
1,1.574726351923759,1.3808987306233707,1.7685539732241475,2.9358101732939734
2,1.6208897467947807,1.3967544895966895,1.845025003992872,2.9358101732939734
3,2.1459576174560904,1.793747324863306,2.498167910048875,2.9358101732939734
4,2.5833589796024015,1.9948021219903644,3.1719158372144385,2.9358101732939734
5,2.628873706582233,2.2579539219550098,2.9997934912094566,2.9358101732939734
6,2.1521388271711417,1.814758294061471,2.4895193602808123,2.9358101732939734
7,3.121266773792964,2.524211536167632,3.7183220114182958,2.9358101732939734
8,2.7300481450127,2.1136696197656764,3.346426670259724,2.9358101732939734
9,3.5967167794788066,3.14129389951644,4.052139659441173,2.9358101732939734
10,3.250730430921746,2.5842692898717594,3.917191571971733,2.9358101732939734
11,3.238271938475646,2.7582367359579214,3.718307140993371,2.9358101732939734
12,3.6397569237991094,3.060912951932315,4.2186008956659045,2.9358101732939734
13,3.699527578506212,3.1140775034452455,4.284977653567179,2.9358101732939734
14,4.26868778919699,3.8514157949464454,4.685959783447535,2.9358101732939734
15,3.6748440559053384,2.9510322739486687,4.398655837862008,2.9358101732939734
16,3.8281793052337276,3.1539071568657184,4.502451453601736,2.9358101732939734
17,4.01766084577296,3.5199236080906937,4.515398083455227,2.9358101732939734
18,4.046577638414473,3.5131609404951476,4.579994336333799,2.9358101732939734
19,3.619842810051437,2.8553587696781495,4.384326850424724,2.9358101732939734
20,3.8456602034509295,3.249955587736481,4.441364819165377,2.9358101732939734
21,4.138228982558912,3.662470750553781,4.613987214564044,2.9358101732939734
22,4.121007445552268,3.6033954635456564,4.638619427558879,2.9358101732939734
23,4.1017637626663115,3.410091573609288,4.793435951723335,2.9358101732939734
24,4.0495110636568254,3.559735523135464,4.539286604178186,2.9358101732939734
25,4.026196851289888,3.4101602829156055,4.64223341966417,2.9358101732939734
26,3.9876288773591866,3.473911229499496,4.501346525218877,2.9358101732939734
27,4.329766003314026,3.821077374420862,4.838454632207189,2.9358101732939734
28,3.992495119139442,3.3606435724139065,4.624346665864978,2.9358101732939734
29,4.255515415460491,3.565817075880027,4.945213755040955,2.9358101732939734
30,4.475821993045166,4.037784108685193,4.913859877405139,2.9358101732939734
